review,sentiment,negative,positive,neutral
시장은 언제나 정겹고 사람냄새 나는곳 재방문 의사 있습니다,positive,0.00034701347,99.999504,0.0001526784
다양한 제품 가성비 갑,positive,0.003029214,99.9952,0.0017731707
다양한 먹거리와 용품들 저렴한금액 좋아요,positive,0.00016093966,99.99963,0.00020854824
"nts when they were young, but I don't remember. The important thing is that I visited this place with a colleague now. I don't think I can hear it alone, and if I have friends with colleagues, I want to visit this place again. As it is a traditional market and an old place located in the city center of Seoul, it was expected to be clean and complicated, but it was surprisingly clean and clean and very accessible.",positive,0.06069404,99.92279,0.01651431
사람구경 많이했어요외국인도많고모자두개 만원주고 딸하고저하고하나씩나눠쓰고 즐거운시간보냈네요더보기,positive,0.005161705,75.00551,24.989332
소소한 재미,positive,0.023212662,99.93522,0.041569635
호떡 맛있어요 특히 치즈호떡,positive,0.017467039,85.69398,14.288554
볼거리 많아서 좋네요,positive,0.008913185,99.98827,0.0028133919
쇼핑 하기 에 펀해요 가격만족,positive,0.003359952,99.99214,0.004495741
대한민국의 최고의시장,positive,0.027083063,99.96462,0.008292133
대체로 나쁘지 않았음 관광객 종종 보임갈치조림 먹으러 간건데 양은 좀 적었음길거리 간식 나쁘지 않음 좀 즐기다가 명동 넘어가는게 나음,positive,46.19321,46.207844,7.5989437
언제 방문해도 좋은 남대문 시장,positive,0.00017398944,99.99834,0.0014926731
늘 가볼만,positive,0.010527035,99.968544,0.02092823
가격싸요,positive,0.019973492,98.934105,1.0459181
만두가 넘 맛있구 여기 삼촌들이 친절하구 재밌어용,positive,0.00015349816,99.99961,0.00023672568
조아요 예전엔 더 많은 상점이 있었는데,positive,0.002694485,85.71006,14.287249
코코얀 좋아요,positive,0.003401326,99.99442,0.002174981
여기 호떡 최고예요구경하러 가기도 좋고 재미있어요,positive,0.010868136,99.984436,0.004696935
늘 즐겁게 다녀오는 곳추억이 많죠,positive,0.0016369922,99.99565,0.0027114926
언제나 즐거운 쇼핑,positive,0.010877895,99.98131,0.007813717
호떡 과자 짱,positive,0.025001545,99.93235,0.04264459
넘 맛있어요,positive,0.013814572,99.98151,0.0046775546
발전이 더 되면좋겠다,positive,0.024640104,99.76692,0.20843513
볼게많아서 좋아요,positive,0.003591383,99.99206,0.0043506445
회현역에서 바로 가깝고 버스 노선도 많아 방문이 쉬움 꽃시장도 가격 좋고 그릇 상가도 품목 많아서 좋아요,positive,0.00020520012,99.9996,0.0001948743
그냥 걸어다니는게 재밌다,positive,0.19424647,98.48049,1.3252585
말할 필요없이 굿,positive,0.0033051518,99.99453,0.002164504
싸고 친절해서 좋아요,positive,0.0030623348,99.99546,0.0014733472
구경할것도 많고 먹을것도 많은 남대문시장 세상의 모든물건을 보는듯한 작은세상이예요,positive,0.00017519014,99.999374,0.0004512751
조화 인형 그릇 필요하면 한번쯤 가보는것추천,positive,0.01117333,99.938156,0.050668374
이것저것 볼거리가 많은곳,positive,0.00016618041,99.99943,0.00040677664
첫방문최고 짱,positive,0.038235493,99.956764,0.005001705
정감넘치는 시장이에요 뭔가 진짜 옛날 시장 느낌이라 걸으면서 마음이 편안해져요 호떡 냄새가 장난아니더라구요,positive,33.331676,66.66686,0.0014589482
여전히 흥정만 잘하면 싸게 살수 있다그러나 점점 흥정이 쉽지 않다,positive,49.99981,49.999817,0.00037585545
쇼핑과 사람 구경하기 좋은 곳,positive,0.00012839501,99.99955,0.00032174744
코로나로 주춤하긴하지만 여전히 활기넘치는 장소,positive,0.013752679,99.96219,0.024060713
시장보기가편하다,positive,0.050485633,99.940865,0.008650246
언제나 활기넘치는 곳,positive,0.0008519878,99.99797,0.0011738888
