review,sentiment,negative,positive,neutral
옛날만 못해요,neutral,10.154737,0.6941572,89.15111
딱한쪽골목길의 먹거리만 활성청결좀하자,neutral,1.5366088,1.5680562,96.89533
시장은 언제나 정겹고 사람냄새 나는곳 재방문 의사 있습니다,positive,0.00034701347,99.999504,0.0001526784
다양한 제품 가성비 갑,positive,0.003029214,99.9952,0.0017731707
다양한 먹거리와 용품들 저렴한금액 좋아요,positive,0.00016093966,99.99963,0.00020854824
"nts when they were young, but I don't remember. The important thing is that I visited this place with a colleague now. I don't think I can hear it alone, and if I have friends with colleagues, I want to visit this place again. As it is a traditional market and an old place located in the city center of Seoul, it was expected to be clean and complicated, but it was surprisingly clean and clean and very accessible.",positive,0.06069404,99.92279,0.01651431
사람구경 많이했어요외국인도많고모자두개 만원주고 딸하고저하고하나씩나눠쓰고 즐거운시간보냈네요더보기,positive,0.005161705,75.00551,24.989332
ice,neutral,0.025040181,0.019048711,99.95591
소소한 재미,positive,0.023212662,99.93522,0.041569635
호떡 맛있어요 특히 치즈호떡,positive,0.017467039,85.69398,14.288554
볼거리 많아서 좋네요,positive,0.008913185,99.98827,0.0028133919
시장구경하는거 좋아해서 가끔가요,neutral,0.0009936084,0.0045217155,99.994484
쇼핑 하기 에 펀해요 가격만족,positive,0.003359952,99.99214,0.004495741
대한민국의 최고의시장,positive,0.027083063,99.96462,0.008292133
남대문꽃시장 다녀왔어요,neutral,0.017708173,0.0226502,99.95964
대체로 나쁘지 않았음 관광객 종종 보임갈치조림 먹으러 간건데 양은 좀 적었음길거리 간식 나쁘지 않음 좀 즐기다가 명동 넘어가는게 나음,positive,46.19321,46.207844,7.5989437
구제옷을 세옷인마냥 속여파는곳다신 방문하고싶지않은곳정직하게 장사합시다대대손손 망하기전에더보기,negative,99.97991,0.0121028805,0.007988606
여기는 외국인상대로 장사는곳같아요,neutral,0.0011910441,0.0022808316,99.99653
서울 한복판에서 전통시장의 느낌을 받을 구 있는 곳,neutral,0.04502654,0.240018,99.71496
언제 방문해도 좋은 남대문 시장,positive,0.00017398944,99.99834,0.0014926731
수입상가 지하 멸치국수집이 지존임,neutral,0.1314099,1.5329667,98.335625
대한민국 의 마켓 표본구경가세요,neutral,0.07509645,0.07968629,99.845215
늘 가볼만,positive,0.010527035,99.968544,0.02092823
가격싸요,positive,0.019973492,98.934105,1.0459181
만두가 넘 맛있구 여기 삼촌들이 친절하구 재밌어용,positive,0.00015349816,99.99961,0.00023672568
조아요 예전엔 더 많은 상점이 있었는데,positive,0.002694485,85.71006,14.287249
상인들 예의가 없음 친절하신 가게는 대부분 젊은 사장님들이 운영하는 곳이고 아줌마 아저씨들이 운영하는 가게는 전부 예의가 없네요 인사 먼저 하는데도 인사도 없으시고 힐끗 쳐다보고 앉아서 핸드폰 하시질 않나 만두 포장하러 갔는데 포장한 봉다리를 집어던지질 않나 한 두 가게가 그러면 모르겠는데 대부분 가게가 다 저러니 다신 안 가렵니다더보기,negative,99.99929,0.00020668583,0.00050348876
코코얀 좋아요,positive,0.003401326,99.99442,0.002174981
그냥 그랬어요,negative,99.998085,0.00055842707,0.0013572192
여기 호떡 최고예요구경하러 가기도 좋고 재미있어요,positive,0.010868136,99.984436,0.004696935
늘 즐겁게 다녀오는 곳추억이 많죠,positive,0.0016369922,99.99565,0.0027114926
언제나 즐거운 쇼핑,positive,0.010877895,99.98131,0.007813717
남대문시장은 너무유명하고 서울의 대표시장이죠 없을것없이 다있는,neutral,0.03563544,0.6845678,99.2798
호떡 과자 짱,positive,0.025001545,99.93235,0.04264459
넘 맛있어요,positive,0.013814572,99.98151,0.0046775546
발전이 더 되면좋겠다,positive,0.024640104,99.76692,0.20843513
생가보다 싸지는 않은듯,negative,99.992195,0.003014128,0.0047914204
볼게많아서 좋아요,positive,0.003591383,99.99206,0.0043506445
회현역에서 바로 가깝고 버스 노선도 많아 방문이 쉬움 꽃시장도 가격 좋고 그릇 상가도 품목 많아서 좋아요,positive,0.00020520012,99.9996,0.0001948743
그냥 걸어다니는게 재밌다,positive,0.19424647,98.48049,1.3252585
말할 필요없이 굿,positive,0.0033051518,99.99453,0.002164504
